,PropertyFullStreetAddress,PropertyCity,PropertyState,PropertyZip,fixed_address,score,latitude,longitude,address
305,,,,,,,,,
306,,,,,,,,,
307,,,,,,,,,
308,,,,,,,,,
309,,,,,,,,,
310,,,,,,,,,
311,,,,,,,,,
312,1002 KINGS RIDGE CIR,WASILLA,AK,99654,"1002 KINGS RIDGE CIR,WASILLA,AK,99654",,,,
313,5893 E MORNING MIST DR,WASILLA,AK,99654,"5893 E MORNING MIST DR,WASILLA,AK,99654",91.71,-149.37024389520437,61.61946736327701,"N Kings Ridge Cir, Wasilla, Alaska, 99654"
314,,,,,,97.16,-149.30341481923327,61.555261692221,"5893 E Morning Mist Dr, Palmer, Alaska, 99645"
315,,,,,,,,,
316,,,,,,,,,
317,,,,,,,,,
318,,,,,,,,,
319,229 ALEX HATELY DR,BETHEL,AK,99554,"229 ALEX HATELY DR,BETHEL,AK,99554",,,,
320,,,,,,96.18,-161.8067414441625,60.79270686824063,"229 Alex Hatley Dr, Bethel, Alaska, 99559"
321,,,,,,,,,
322,,,,,,,,,
323,,,,,,,,,
324,,,AK,,AK,,,,
325,9 MILE HAINES HWY,HAINES,AK,99827,"9 MILE HAINES HWY,HAINES,AK,99827",100,-151.00415781499996,64.80808789800005,Alaska
326,,,AK,,AK,97.53,-135.44128390763916,59.22920830402513,"9 Haines Hwy, Haines, Alaska, 99827"
327,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
328,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
329,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
330,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
331,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
332,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
333,,,,,,100,-151.00415781499996,64.80808789800005,Alaska
334,,,,,,,,,
335,,,,,,,,,
336,,,,,,,,,
337,,,,,,,,,
338,,,,,,,,,
339,,,,,,,,,
340,,,,,,,,,
341,,,,,,,,,
342,,,,,,,,,
343,,MARSHALL,AK,99585,"MARSHALL,AK,99585",,,,
344,,,,,,100,-162.05266999999998,61.87572000000006,"Marshall, Alaska, 99585"
345,NHN NSN,EMMONAK,AK,99581,"NHN NSN,EMMONAK,AK,99581",,,,
346,,,,,,88,-164.53646999999998,62.77779000000004,"Emmonak, Alaska, 99581"
347,,,,,,,,,
348,,,,,,,,,
349,,,,,,,,,
350,NHN VALLEY ST,MOUNTAIN VILLAGE,AK,99632,"NHN VALLEY ST,MOUNTAIN VILLAGE,AK,99632",,,,
351,,,,,,96.82,-163.7321236869721,62.090598663123686,"Valley St, Mountain Village, Alaska, 99632"
352,,,,,,,,,
353,,,,,,,,,
354,,,,,,,,,
355,,,,,,,,,
356,,,,,,,,,
357,,,,,,,,,
358,,,,,,,,,
359,,,,,,,,,
360,,,,,,,,,
361,,,,,,,,,
362,,,,,,,,,
363,,,,,,,,,
364,,,,,,,,,
365,,,,,,,,,
366,,,,,,,,,
367,,,,,,,,,
368,,,,,,,,,
369,,,,,,,,,
370,,,,,,,,,
371,,,,,,,,,
372,1 TORNAGANUK RD,HOOPER BAY,AK,99604,"1 TORNAGANUK RD,HOOPER BAY,AK,99604",,,,
373,,,,,,92.97,-166.0908294776638,61.526966291095995,"Tomaganuk Rd, Hooper Bay, Alaska, 99604"
374,,,,,,,,,
375,,,,,,,,,
376,,,,,,,,,
377,,,,,,,,,
378,,,,,,,,,
379,,,,,,,,,
380,,,,,,,,,
381,,,,,,,,,
382,,,,,,,,,
383,,,,,,,,,
384,,,,,,,,,
385,,,,,,,,,
386,,,,,,,,,
387,,,,,,,,,
388,,,,,,,,,
389,,,,,,,,,
390,,,,,,,,,
391,,,,,,,,,
392,,,,,,,,,
393,,,,,,,,,
394,,,,,,,,,
395,,,,,,,,,
396,308 TOWER RD,HAINES,AK,99827,"308 TOWER RD,HAINES,AK,99827",,,,
397,,,AK,,AK,100,-135.44348609437927,59.225053179583284,"308 Tower Rd, Haines, Alaska, 99827"
398,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
399,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
400,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
401,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
402,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
403,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
404,,,AK,,AK,100,-151.00415781499996,64.80808789800005,Alaska
405,,,,,,100,-151.00415781499996,64.80808789800005,Alaska
406,,,,,,,,,
407,,,,,,,,,
408,,,,,,,,,
